País,Country,Principal Índice,ETFs Americanos,S&P,Moody's,Fitch,Nível de Risco,Empresa,Ticker,Setor,GeoJSON name
Estados Unidos,United States,S&P 500,"SPY, IVV, VOO",AA+,Aaa,AAA,aa,Apple Inc.,AAPL,Tecnologia,USA
Estados Unidos,United States,S&P 500,"SPY, IVV, VOO",AA+,Aaa,AAA,aa,Microsoft Corp.,MSFT,Tecnologia,USA
Estados Unidos,United States,S&P 500,"SPY, IVV, VOO",AA+,Aaa,AAA,aa,Nvidia Corp.,NVDA,Tecnologia,USA
Estados Unidos,United States,S&P 500,"SPY, IVV, VOO",AA+,Aaa,AAA,aa,Amazon.com Inc.,AMZN,Comércio Eletrônico,USA
Estados Unidos,United States,S&P 500,"SPY, IVV, VOO",AA+,Aaa,AAA,aa,Meta Platforms Inc.,META,Tecnologia,USA
Estados Unidos,United States,S&P 500,"SPY, IVV, VOO",AA+,Aaa,AAA,aa,Berkshire Hathaway Inc. Class B,BRK.B,Conglomerado,USA
Estados Unidos,United States,S&P 500,"SPY, IVV, VOO",AA+,Aaa,AAA,aa,Alphabet Inc. Class A,GOOGL,Tecnologia,USA
Estados Unidos,United States,S&P 500,"SPY, IVV, VOO",AA+,Aaa,AAA,aa,Alphabet Inc. Class C,GOOG,Tecnologia,USA
Estados Unidos,United States,S&P 500,"SPY, IVV, VOO",AA+,Aaa,AAA,aa,Tesla Inc.,TSLA,Automotivo,USA
Estados Unidos,United States,S&P 500,"SPY, IVV, VOO",AA+,Aaa,AAA,aa,UnitedHealth Group Inc.,UNH,Saúde,USA
Estados Unidos,United States,S&P 500,"SPY, IVV, VOO",AA+,Aaa,AAA,aa,Eli Lilly and Co.,LLY,Farmacêutico,USA
Estados Unidos,United States,S&P 500,"SPY, IVV, VOO",AA+,Aaa,AAA,aa,JPMorgan Chase & Co.,JPM,Financeiro,USA
Estados Unidos,United States,S&P 500,"SPY, IVV, VOO",AA+,Aaa,AAA,aa,Johnson & Johnson,JNJ,Saúde,USA
Estados Unidos,United States,S&P 500,"SPY, IVV, VOO",AA+,Aaa,AAA,aa,Visa Inc. Class A,V,Financeiro,USA
Estados Unidos,United States,S&P 500,"SPY, IVV, VOO",AA+,Aaa,AAA,aa,Exxon Mobil Corp.,XOM,Energia,USA
Estados Unidos,United States,Nasdaq Composite,QQQ,AA+,Aaa,AAA,aa,Apple Inc.,AAPL,Tecnologia,USA
Estados Unidos,United States,Nasdaq Composite,QQQ,AA+,Aaa,AAA,aa,Microsoft Corp.,MSFT,Tecnologia,USA
Estados Unidos,United States,Nasdaq Composite,QQQ,AA+,Aaa,AAA,aa,Nvidia Corp.,NVDA,Tecnologia,USA
Estados Unidos,United States,Nasdaq Composite,QQQ,AA+,Aaa,AAA,aa,Alphabet Inc. Class A,GOOGL,Tecnologia,USA
Estados Unidos,United States,Nasdaq Composite,QQQ,AA+,Aaa,AAA,aa,Alphabet Inc. Class C,GOOG,Tecnologia,USA
